id;descripcion;ambito
0;SIN REGLAMENTO - NOTIFICACIÓN PREVIA,SIN REGLAMENTO - NOTIFICACION PREVIA;C
1;REG (UE) 1407/2013 DE MINIMIS, GENERAL;M
2;REG (UE) 1408/2013 DE MINIMIS, GENERAL;M
3;GENERAL DE EXENCIÓN - REG (UE) 651/2014,GENERAL DE EXENCION - REG (UE) 651/2014;C
4;PRODUCCIÓN AGRÍCOLA PRIMARIA - REG (UE) 702/2014;C
5;PESCA Y ACUICULTURA - REG (UE) 1388/2014,PESCA Y ACUICULTURA - REG (UE) 1388/2014;C
6;REG (UE) 717/2014 DE MINIMIS,REG (UE) 717/2014 DE MINIMIS;M
7;REG (UE) 360/2012 DE MINIMIS,REG (UE) 360/2012 DE MINIMIS;M
8;OTROS DISTINTOS DE PRODUCCIÓN AGRÍCOLA PRIMARIA - REG (UE) 702/2014;C
9;PRODUCCIÓN AGRÍCOLA PRIMARIA - REG (UE) 2022/2472;C
10;OTROS DISTINTOS DE PRODUCCIÓN ACRÍGOLA PRIMARIA - REG (UE) 2022/2472;C
11;PESCA Y ACUICULTURA - REG (UE) 2022/2473;C
12;REG (UE) 2023/2831 DE MINIMIS, GENERAL;M
13;REG (UE) 2023/2832 DE MINIMIS, SIEG;M
14;REG (UE) 651/2014, DE 17 DE JUNIO, DE EXENCIÓN DE NOTIFICACIÓN;C
15;REG (UE) 651/2014, DE 17 DE JUNIO, DE EXENCION DE NOTIFICACION;C
16;REG (UE) 1407/2013 DE MINIMIS, GENERAL ;M
17;PRODUCCION AGRICOLA PRIMARIA - REG (UE) 2022/2472, DE 14 DE DICIEMBRE, DE EXENCION DE NOTIFICACION (VIGENTE DESDE 01-01-2023);C
18;REG (UE) 2023/2831 DE MINIMIS, GENERAL;M
19;REG (UE) 1408/2013 DE MINIMIS, AGRICOLA;M
20;REG (UE) 360/2012 de minimis, SIEG;M

